name,date_utc,rocket,success,upcoming
Starlink 4-6 (v1.5),2022-01-19 00:04:00+00:00,5e9d0d95eda69973a809d1ec,True,False
CSG-2,2022-01-31 23:11:12+00:00,5e9d0d95eda69973a809d1ec,True,False
NROL-87,2022-02-02 20:18:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-7 (v1.5),2022-02-03 18:13:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-8 (v1.5),2022-02-21 14:44:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-11 (v1.5),2022-02-25 17:12:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-9 (v1.5),2022-03-03 14:35:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-10 (v1.5),2022-03-09 13:45:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-12 (v1.5),2022-03-19 03:24:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Transporter-4,2022-04-01 16:24:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Ax-1,2022-04-08 15:17:00+00:00,5e9d0d95eda69973a809d1ec,True,False
NROL-85,2022-04-17 13:13:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-14 (v1.5),2022-04-21 15:16:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Crew-4,2022-04-27 07:52:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-16 (v1.5),2022-04-29 21:27:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-17 (v1.5),2022-05-06 09:42:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-13 (v1.5),2022-05-13 22:07:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-15 (v1.5),2022-05-14 20:40:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-18 (v1.5),2022-05-18 10:40:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Transporter-5,2022-05-25 18:27:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-19 (v1.5),2022-06-01 17:08:50+00:00,5e9d0d95eda69973a809d1ec,True,False
Nilesat-301,2022-06-08 21:04:00+00:00,5e9d0d95eda69973a809d1ec,True,False
SARah 1,2022-06-18 14:19:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Globalstar FM15,2022-06-19 04:27:00+00:00,5e9d0d95eda69973a809d1ec,True,False
SES-22,2022-06-29 21:04:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-21 (v1.5),2022-07-07 13:11:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 3-1 (v1.5),2022-07-11 01:39:00+00:00,5e9d0d95eda69973a809d1ec,,False
CRS-25,2022-07-15 00:44:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-22 (v1.5),2022-07-17 14:50:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 3-2 (v1.5),2022-07-21 17:13:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-25 (v1.5),2022-07-24 00:00:00+00:00,5e9d0d95eda69973a809d1ec,True,False
KPLO,2022-08-04 23:08:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-26 (v1.5),2022-08-09 22:57:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 3-3 (v1.5),2022-08-12 21:30:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-27 (v1.5),2022-08-19 19:24:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-23 (v1.5),2022-08-28 02:22:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 3-4 (v1.5),2022-08-31 05:40:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05 02:09:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11 01:10:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-34 (v1.5),2022-09-17 01:05:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Starlink 4-35 (v1.5),2022-09-24 23:30:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Crew-5,2022-10-05 16:00:00+00:00,5e9d0d95eda69973a809d1ec,True,False
Galaxy 33 (15R) & 34 (12R),2022-10-08 23:05:00+00:00,5e9d0d95eda69973a809d1ec,,True
Hotbird 13F,2022-10-15 05:22:00+00:00,5e9d0d95eda69973a809d1ec,,True
Starlink 4-36 (v1.5),2022-10-20 14:50:00+00:00,5e9d0d95eda69973a809d1ec,,True
SES-18 & SES-19,2022-11-01 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
"O3b mPower 1,2",2022-11-01 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
Starlink 4-37 (v1.5),2022-11-01 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
USSF-44,2022-11-01 13:41:00+00:00,5e9d0d95eda69974db09d1ed,,True
Hotbird 13G,2022-11-03 03:24:00+00:00,5e9d0d95eda69973a809d1ec,,True
Galaxy 31 (23R) & 32 (17R),2022-11-08 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
Eutelsat 10B,2022-11-15 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
CRS-26,2022-11-18 22:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
ispace Mission 1 & Rashid,2022-11-22 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
Viasat-3 & Arcturus,2022-12-01 00:00:00+00:00,5e9d0d95eda69974db09d1ed,,True
Transporter-6,2022-12-01 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
TTL-1,2022-12-01 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
WorldView Legion 1 & 2,2022-12-01 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
O3b mPower 3.4,2022-12-01 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
SWOT,2022-12-05 00:00:00+00:00,5e9d0d95eda69973a809d1ec,,True
